NDB_No,Shrt_Desc,Water,Energ_Kcal,Protein,Lipid_Tot,Ash,Carbohydrt,Fiber_TD,Sugar_Tot,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,ZInc,Copper,Manganese,Selenium,Vit_C,Thiamin,Ribolfavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Folic_Acid,Food_Folate,Folate_DFE,Choline_Tot,Vit_B12,Vit_A_IU,Vit_A_RAE,Retinol,Alpha_Carot,Beta_Carot,Beta_Crypt,Lycopene,Lut+Zea,Vit_E,Vit_K,FA_SAt,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
01001,"BUTTER,WITH SALT",15.87,717,0.85,12,2.11,0.06,0,0.059999999,24,0.03,2,24,24,576,0.09,0.016,0.005,3.1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,19,0.52,414,107,89,0,13,0,0,0,0.23,1.1,4.591,3.5685000000000002,0.546,9,227,1 cup,14,1 top,0
01002,"BUTTER,WHIPPED,WITH SALT",15.87,717,0.85,12,2.11,0.06,0,0.059999999,24,0.03,2,23,26,827,0.05,0.016,0.004,3.1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,19,0.52,414,107,89,0,13,0,0,0,0.23,1.1,4.591,3.5685000000000002,0.546,9,227,1 cup,227,1 top,0
01003,"BUTTER OIL,ANHYDROUS",0.24,251,0.28,12,0,0,0,0,4,0.05,7,3,5,2,0.01,0.012,0.002,3.1,0,0.04,0.005,0.003,0.01,0,0,0,0,0,18,0.52,414,107,89,0,13,0,0,0,0.23,1.1,4.591,3.5685000000000002,0.546,31,244,1 cup,31,1 top,0
01004,"CHEESE,BLUE",42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1395,2.66,0.021,0.001,14.5,0,0.029,0.382,0.105,0.3935,0.045,8,0,8,8,15,0.3,763,198,192,0,0,0,0,0,0.04,0.2,18.669,7.778,0.8,0,227,1 oz,227,1 cubic inch,0
01005,"CHEESE,BRICK",41.11,371,23.24,29.68,3.18,2.79,0,0.50999999,674,0.03,24,451,136,560,2.6,0.024,0.003,14.5,0,0.014,0.351,0.118,0.288,0.04,20,0,20,20,15,0.52,1080,292,286,0,0,0,0,0,0.26,2.5,18.764,8.598,0.784,94,132,"1 cup, diced",113,"1 cup, shredded",0
01006,"CHEESE,BRIE",48.42,334,20.75,27.68,2.7,0.45,0,0.449999988,184,0.03,7,188,152,629,2.38,0.019,0.003,14.5,0,0,0.52,0.38,0.69,0,10,0,10,10,15,0.34,592,174,173,0,9,0,0,0,0.24,2.3,17.41,8.013,0.826,9,240,1 cup,227,4 oz,0
01007,"CHEESE,CAMEMBERT",51.8,300,19.8,24.26,3.68,0.46,0,0.460000008,388,0.03,7,347,187,842,2.38,0.021,0.038,14.5,0,0,0.488,0.105,1.364,0,10,0,10,10,15,0.52,820,241,240,0,9,0,0,0,0.04,0.2,15.259,7.023,0.724,9,246,1 cup,28,1 oz,0
01008,"CHEESE,CARAWAY",39.28,376,25.18,29.2,3.28,3.06,0,17.39999962,673,0.06,22,490,93,690,2.94,0.024,0.003,14.5,0,0.005,0.45,0.18,0.19,0.045,18,0,18,18,18,0.52,1054,271,262,0,0,0,0,0,0.04,0.3,18.584,8.275,0.83,9,227,1 oz,227,1 quart,0
01009,"CHEESE,CHEDDAR",36.75,403,24.9,33.14,3.93,1.28,0,0.519999981,721,0.03,28,512,98,621,3.11,0.01,0.01,3.1,0,0.027,0.375,0.08,0.413,0.045,18,0,18,18,16,0.83,1002,265,258,0,0,0,0,0,0.04,0.3,21.092,9.391,0.942,105,132,"1 cup, diced",244,"1 cup, melted",0
01010,"CHEESE,CHESHIRE",37.65,387,23.37,30.6,3.6,4.78,0,17.39999962,643,0.05,7,464,95,700,2.79,0.019,0.003,14.5,0,0.005,0.293,0.08,0.413,0.045,18,0,18,18,18,0.83,985,233,220,0,0,0,0,0,0.04,0.2,19.475,8.671,0.87,9,227,1 oz,227,.5 cup,0
